#Study ID	GSE70043
#Platform ID	GPL20586
#Platform Data Column Numbers	3
#Outside study controls	
#Difference Calculation	Subtraction
#Comparison Calculation	Mean
#In-column Delimiter	
#Add N Samples	175
Sample_ID	Group	Species	Strain	Growth_Phase	Other_General	Treatment	Dosage	Exposure_Time	Other_Treatment
GSM1715965	Control	S. aureus	HG001	log	RMPI				
GSM1715966	Control	S. aureus	HG001	log	RPMI				
GSM1715967	Control	S. aureus	HG001	2 hour stationary	RPMI				
GSM1715968	Control	S. aureus	HG001	log	TSB				
GSM1715969	Control	S. aureus	HG001	log	TSB				
GSM1715970	Control	S. aureus	HG001	log	TSB				
GSM1715971	Control	S. aureus	HG001	log	TSB				
GSM1715972	Control	S. aureus	HG001	log	TSB				
GSM1715973	Control	S. aureus	HG001	log	TSB				
GSM1715974	Control	S. aureus	HG001	2 hour stationary	TSB				
GSM1715975	Control	S. aureus	HG001	2 hour stationary	TSB				
GSM1715976	Control	S. aureus	HG001	2 hour stationary	TSB				
GSM1715977	Control	S. aureus	HG001	4 hour stationary	TSB				
GSM1715978	Control	S. aureus	HG001	4 hour stationary	TSB				
GSM1715979	Control	S. aureus	HG001	log	TSB				
GSM1715980	Control	S. aureus	HG001	log	TSB				
GSM1715981	Control	S. aureus	HG001	log	TSB				
GSM1715982	Control	S. aureus	HG001	2 hour stationary	TSB				
GSM1715983	Control	S. aureus	HG001	2 hour stationary	TSB				
GSM1715984	Control	S. aureus	HG001	2 hour stationary	TSB				
GSM1715985	Control	S. aureus	HG001	4 hour stationary	TSB				
GSM1715986	Control	S. aureus	HG001	4 hour stationary	TSB				
GSM1715987	Control	S. aureus	HG001	4 hour stationary	TSB				
GSM1715988	Control	S. aureus	HG001	log	pMEM				
GSM1715989	Control	S. aureus	HG001	log	pMEM				
GSM1715990	Control	S. aureus	HG001	log	pMEM				
GSM1715991	Control	S. aureus	HG001	2 hour stationary	pMEM				
GSM1715992	Control	S. aureus	HG001	2 hour stationary	pMEM				
GSM1715993	Control	S. aureus	HG001	2 hour stationary	pMEM				
GSM1715994	Control	S. aureus	HG001	4 hour stationary	pMEM				
GSM1715995	Control	S. aureus	HG001	4 hour stationary	pMEM				
GSM1715996	Control	S. aureus	HG001	4 hour stationary	pMEM				
GSM1715997	Control	S. aureus	HG001	log	CDM				
GSM1715998	Control	S. aureus	HG001	log	CDM				
GSM1715999	Control	S. aureus	HG001	log	CDM				
GSM1716000	Control	S. aureus	HG001	2 hour stationary	CDM				
GSM1716001	Control	S. aureus	HG001	2 hour stationary	CDM				
GSM1716002	Control	S. aureus	HG001	2 hour stationary	CDM				
GSM1716003	Control	S. aureus	HG001	2 hour stationary	CDM				
GSM1716004	Control	S. aureus	HG001	4 hour stationary	CDM				
GSM1716005	Control	S. aureus	HG001	4 hour stationary	CDM				
GSM1716006	Control	S. aureus	HG001	4 hour stationary	CDM				
GSM1716007	Control	S. aureus	HG001	log	Plasma				
GSM1716008	Control	S. aureus	HG001	log	Plasma				
GSM1716009	Control	S. aureus	HG001	log	Plasma				
GSM1716010	Control	S. aureus	HG001	4 hour stationary	Plasma				
GSM1716011	Control	S. aureus	HG001	4 hour stationary	Plasma				
GSM1716012	Control	S. aureus	HG001	4 hour stationary	Plasma				
GSM1716013	Control	S. aureus	HG001	log	TSB				
GSM1716014	Control	S. aureus	HG001	log	TSB				
GSM1716015	Control	S. aureus	HG001	log	TSB				
GSM1716016	Control	S. aureus	HG001	4 hour stationary	TSB				
GSM1716017	Control	S. aureus	HG001	4 hour stationary	TSB				
GSM1716018	Control	S. aureus	HG001	4 hour stationary	TSB				
GSM1716019	Test	S. aureus	HG001	log	TSB	Flucloxacillin	0.02 μg/mL		Bactericidal,MSSA
GSM1716020	Test	S. aureus	HG001	log	TSB	Flucloxacillin	0.02 μg/mL		Bactericidal,MSSA
GSM1716021	Test	S. aureus	HG001	log	TSB	Flucloxacillin	0.02 μg/mL		Bactericidal,MSSA
